ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
RWA,Byumba/Kibungo,2561321,Wife beating justified for at least one specific reason [Men],51.5,1,RW,Rwanda,2000,RW2000DHS,WE_AWBT_M_AGR,176434060,I,442009,1442009,Region,Byumba/Kibungo,0,,0,1,WEAWBTMAGR,RWDHS2000442009,2000,DHS,534,506,,,
RWA,Byumba,3444810,Wife beating justified for at least one specific reason [Men],48,1,RW,Rwanda,2000,RW2000DHS,WE_AWBT_M_AGR,176434060,I,442010,1442010,Region,..Byumba,0,,0,1,WEAWBTMAGR,RWDHS2000442010,2000,DHS,242,202,,,1
RWA,Kibungo,4117267,Wife beating justified for at least one specific reason [Men],57.7,1,RW,Rwanda,2000,RW2000DHS,WE_AWBT_M_AGR,176434060,I,442011,1442011,Region,..Kibungo,0,,0,1,WEAWBTMAGR,RWDHS2000442011,2000,DHS,227,213,,,1
RWA,Umutara,5862394,Wife beating justified for at least one specific reason [Men],42.9,1,RW,Rwanda,2000,RW2000DHS,WE_AWBT_M_AGR,176434060,I,442012,1442012,Region,..Umutara,0,,0,1,WEAWBTMAGR,RWDHS2000442012,2000,DHS,66,91,,,1
RWA,Cyangugu/Ginkongoro,7228731,Wife beating justified for at least one specific reason [Men],48.8,1,RW,Rwanda,2000,RW2000DHS,WE_AWBT_M_AGR,176434060,I,442013,1442013,Region,Cyangugu/Ginkongoro,0,,0,1,WEAWBTMAGR,RWDHS2000442013,2000,DHS,378,402,,,
RWA,Cyangugu,1780586,Wife beating justified for at least one specific reason [Men],50.2,1,RW,Rwanda,2000,RW2000DHS,WE_AWBT_M_AGR,176434060,I,442014,1442014,Region,..Cyangugu,0,,0,1,WEAWBTMAGR,RWDHS2000442014,2000,DHS,224,231,,,1
RWA,Gikongoro,4471123,Wife beating justified for at least one specific reason [Men],46.8,1,RW,Rwanda,2000,RW2000DHS,WE_AWBT_M_AGR,176434060,I,442015,1442015,Region,..Gikongoro,0,,0,1,WEAWBTMAGR,RWDHS2000442015,2000,DHS,154,171,,,1
RWA,Kibuye/Ruhengeri/Gisenyi,5497345,Wife beating justified for at least one specific reason [Men],49.2,1,RW,Rwanda,2000,RW2000DHS,WE_AWBT_M_AGR,176434060,I,442016,1442016,Region,Kibuye/Ruhengeri/Gisenyi,0,,0,1,WEAWBTMAGR,RWDHS2000442016,2000,DHS,663,489,,,
RWA,Kibuye,6695038,Wife beating justified for at least one specific reason [Men],50.9,1,RW,Rwanda,2000,RW2000DHS,WE_AWBT_M_AGR,176434060,I,442017,1442017,Region,..Kibuye,0,,0,1,WEAWBTMAGR,RWDHS2000442017,2000,DHS,137,171,,,1
RWA,Ruhengeri,2668575,Wife beating justified for at least one specific reason [Men],52.5,1,RW,Rwanda,2000,RW2000DHS,WE_AWBT_M_AGR,176434060,I,442018,1442018,Region,..Ruhengeri,0,,0,1,WEAWBTMAGR,RWDHS2000442018,2000,DHS,259,183,,,1
RWA,Gisenyi,1837109,Wife beating justified for at least one specific reason [Men],45.2,1,RW,Rwanda,2000,RW2000DHS,WE_AWBT_M_AGR,176434060,I,442019,1442019,Region,..Gisenyi,0,,0,1,WEAWBTMAGR,RWDHS2000442019,2000,DHS,268,135,,,1
RWA,Kigali Prefecture 1992,5411239,Wife beating justified for at least one specific reason [Men],47.5,1,RW,Rwanda,2000,RW2000DHS,WE_AWBT_M_AGR,176434060,I,442020,1442020,Region,Kigali Prefecture 1992,0,,0,1,WEAWBTMAGR,RWDHS2000442020,2000,DHS,506,733,,,
